Date,PERLIS,KEDAH,PULAU PINANG,PERAK,SELANGOR,NEGERI SEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SABAH,SARAWAK,WP KUALA LUMPUR,WP PUTRAJAYA,WP LABUAN,JUMLAH KESELURUHAN,URL
2020-04-22,18,95,119,252,1357,411,189,648,285,109,155,308,455,1037,78,16,5532,https://kpkesihatan.com/2020/04/22/kenyataan-akhbar-kpk-22-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-23,18,95,119,252,1369,431,189,651,286,110,155,309,459,1066,78,16,5603,https://kpkesihatan.com/2020/04/23/kenyataan-akhbar-kpk-23-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-24,18,95,119,252,1387,433,192,655,287,110,155,311,468,1115,78,16,5691,https://kpkesihatan.com/2020/04/24/kenyataan-akhbar-kpk-24-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-25,18,95,119,252,1388,433,192,655,288,110,155,311,478,1154,78,16,5742,https://kpkesihatan.com/2020/04/25/kenyataan-akhbar-kpk-25-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-26,18,95,121,252,1394,434,193,659,288,110,155,311,485,1170,79,16,5780,https://kpkesihatan.com/2020/04/26/kenyataan-akhbar-kpk-26-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-27,18,95,121,253,1398,435,193,659,288,110,155,312,488,1200,79,16,5820,https://kpkesihatan.com/2020/04/27/kenyataan-akhbar-kpk-27-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-28,18,95,121,253,1403,436,193,660,288,110,155,313,496,1214,80,16,5851,https://kpkesihatan.com/2020/04/28/kenyataan-akhbar-kpk-28-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-29,18,95,121,253,1404,508,193,660,293,110,155,315,502,1222,80,16,5945,https://kpkesihatan.com/2020/04/29/kenyataan-akhbar-kpk-29-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-30,18,95,121,253,1431,513,198,663,294,110,155,315,507,1232,81,16,6002,https://kpkesihatan.com/2020/04/30/kenyataan-akhbar-kpk-30-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-01,18,95,121,253,1455,513,199,666,297,110,155,315,509,1264,85,16,6071,https://kpkesihatan.com/2020/05/01/kenyataan-akhbar-kpk-1-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-02,18,95,121,253,1518,521,201,667,305,110,155,315,518,1278,85,16,6176,https://kpkesihatan.com/2020/05/02/kenyataan-akhbar-kpk-2-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-03,18,95,121,253,1529,592,204,667,305,110,155,316,523,1308,86,16,6298,https://kpkesihatan.com/2020/05/03/kenyataan-akhbar-kpk-3-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-04,18,95,121,253,1550,598,207,667,305,110,155,316,523,1333,86,16,6353,https://kpkesihatan.com/2020/05/04/kenyataan-akhbar-kpk-4-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-05,18,95,121,253,1555,598,207,667,305,110,155,316,525,1356,86,16,6383,https://kpkesihatan.com/2020/05/05/kenyataan-akhbar-kpk-5-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-06,18,95,121,253,1564,600,208,667,305,110,155,316,536,1378,86,16,6428,https://kpkesihatan.com/2020/05/06/kenyataan-akhbar-kpk-6-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-07,18,95,121,253,1580,600,209,667,305,110,155,317,537,1398,86,16,6467,https://kpkesihatan.com/2020/05/07/kenyataan-akhbar-kpk-7-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-08,18,95,121,253,1586,653,209,667,306,110,155,317,538,1404,87,16,6535,https://kpkesihatan.com/2020/05/08/kenyataan-akhbar-kpk-8-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-09,18,95,121,253,1596,681,210,667,306,110,155,317,542,1414,88,16,6589,https://kpkesihatan.com/2020/05/09/kenyataan-akhbar-kpk-9-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-10,18,95,121,255,1604,726,210,667,308,110,155,317,543,1423,88,16,6656,https://kpkesihatan.com/2020/05/10/kenyataan-akhbar-kpk-10-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-11,18,95,121,255,1607,742,211,667,312,110,155,327,543,1458,89,16,6726,https://kpkesihatan.com/2020/05/11/kenyataan-akhbar-kpk-11-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-12,18,95,121,255,1610,742,211,667,312,110,155,328,543,1470,89,16,6742,https://kpkesihatan.com/2020/05/12/kenyataan-akhbar-kpk-12-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-13,18,95,121,255,1612,764,213,667,315,110,155,330,544,1475,89,16,6779,https://kpkesihatan.com/2020/05/13/kenyataan-akhbar-kpk-13-may-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-14,18,95,121,255,1613,775,214,668,323,110,155,330,544,1493,89,16,6819,https://kpkesihatan.com/2020/05/14/kenyataan-akhbar-kpk-14-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-15,18,95,121,255,1627,776,215,668,328,110,155,330,544,1508,89,16,6855,https://kpkesihatan.com/2020/05/15/kenyataan-akhbar-kpk-15-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-16,18,95,121,255,1628,776,215,668,335,110,155,331,544,1515,90,16,6872,https://kpkesihatan.com/2020/05/16/kenyataan-akhbar-kpk-16-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-17,18,95,121,255,1636,776,215,668,336,110,155,331,544,1528,90,16,6894,https://kpkesihatan.com/2020/05/17/kenyataan-akhbar-kpk-17-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-18,18,95,121,255,1644,776,215,668,336,110,155,331,544,1566,91,16,6941,https://kpkesihatan.com/2020/05/18/kenyataan-akhbar-kpk-18-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-19,18,95,121,255,1650,776,215,669,338,110,155,337,544,1588,91,16,6978,https://kpkesihatan.com/2020/05/19/kenyataan-akhbar-kpk-19-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-20,18,96,121,255,1665,776,215,669,338,111,156,338,544,1598,93,16,7009,https://kpkesihatan.com/2020/05/20/kenyataan-akhbar-kpk-20-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-21,18,96,121,255,1673,778,215,669,339,111,156,338,544,1637,93,16,7059,https://kpkesihatan.com/2020/05/21/kenyataan-akhbar-kpk-21-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-22,18,96,121,255,1693,791,216,669,341,111,156,340,545,1676,93,16,7137,https://kpkesihatan.com/2020/05/22/kenyataan-akhbar-kpk-22-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-23,18,96,121,255,1730,792,216,670,344,111,156,341,545,1681,93,16,7185,https://kpkesihatan.com/2020/05/23/kenyataan-akhbar-kpk-23-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-24,18,96,121,255,1776,792,216,671,344,111,156,343,545,1692,93,16,7245,https://kpkesihatan.com/2020/05/24/kenyataan-akhbar-kpk-24-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-25,18,96,121,255,1829,792,216,671,344,111,156,343,549,1807,93,16,7417,https://kpkesihatan.com/2020/05/25/kenyataan-akhbar-kpk-25-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-26,18,96,121,255,1838,793,216,671,344,111,156,343,549,1984,93,16,7604,https://kpkesihatan.com/2020/05/26/kenyataan-akhbar-kpk-26-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-27,18,96,121,255,1843,793,216,671,344,111,156,344,552,1990,93,16,7619,https://kpkesihatan.com/2020/05/27/kenyataan-akhbar-kpk-27-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-28,18,96,121,255,1845,793,216,671,345,111,156,344,552,1997,93,16,7629,https://kpkesihatan.com/2020/05/28/situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-29,18,96,121,255,1873,852,216,674,346,111,156,346,552,2007,93,16,7732,https://kpkesihatan.com/2020/05/29/kenyataan-akhbar-kpk-29-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-30,18,96,121,256,1878,856,218,675,346,111,156,346,552,2020,97,16,7762,https://kpkesihatan.com/2020/05/30/kenyataan-akhbar-kpk-30-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-05-31,18,96,121,256,1909,858,219,675,361,111,156,346,552,2028,97,16,7819,https://kpkesihatan.com/2020/05/31/kenyataan-akhbar-kpk-31-mei-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-01,18,96,121,256,1920,860,232,675,361,111,156,347,552,2039,97,16,7857,https://kpkesihatan.com/2020/06/01/kenyataan-akhbar-kpk-1-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-02,18,96,121,256,1926,866,233,676,361,111,156,348,552,2044,97,16,7877,https://kpkesihatan.com/2020/06/02/kenyataan-akhbar-kpk-2-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-03,18,96,121,256,1928,902,233,676,361,111,156,348,552,2099,97,16,7970,https://kpkesihatan.com/2020/06/03/kenyataan-akhbar-kpk-3-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-04,18,96,121,256,1930,905,233,676,362,111,156,348,552,2370,97,16,8247,https://kpkesihatan.com/2020/06/04/kenyataan-akhbar-kpk-4-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-05,18,96,121,256,1939,905,234,676,363,111,156,351,553,2374,97,16,8266,https://kpkesihatan.com/2020/06/05/kenyataan-akhbar-kpk-5-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-06,18,96,121,256,1953,910,234,676,363,111,156,351,555,2389,97,17,8303,https://kpkesihatan.com/2020/06/06/kenyataan-akhbar-kpk-6-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-07,18,96,121,256,1965,911,234,676,363,111,156,353,555,2393,97,17,8322,https://kpkesihatan.com/2020/06/07/kenyataan-akhbar-kpk-7-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-08,18,96,121,256,1968,911,235,676,363,111,156,355,555,2394,97,17,8329,https://kpkesihatan.com/2020/06/08/kenyataan-akhbar-kpk-8-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-09,18,96,121,256,1971,911,235,676,363,111,156,355,555,2398,97,17,8336,https://kpkesihatan.com/2020/06/09/kenyataan-akhbar-kpk-9-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-10,18,96,121,256,1971,911,235,677,363,111,156,355,556,2398,97,17,8338,https://kpkesihatan.com/2020/06/10/kenyataan-akhbar-kpk-10-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-11,18,96,121,256,1974,927,246,677,363,111,156,355,556,2399,97,17,8369,https://kpkesihatan.com/2020/06/11/kenyataan-akhbar-kpk-11-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-12,18,96,121,256,1987,931,250,678,363,111,156,356,556,2409,97,17,8402,https://kpkesihatan.com/2020/06/12/kenyataan-akhbar-kpk-12-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-13,18,96,121,257,1994,957,252,680,365,111,156,358,556,2410,97,17,8445,https://kpkesihatan.com/2020/06/13/kenyataan-akhbar-kpk-13-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-14,18,96,121,257,1996,957,253,680,365,111,156,358,557,2414,97,17,8453,https://kpkesihatan.com/2020/06/14/kenyataan-akhbar-kpk-14-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-15,18,96,121,257,1998,989,255,683,365,111,156,359,557,2415,97,17,8494,https://kpkesihatan.com/2020/06/15/kenyataan-akhbar-kpk-15-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-16,18,96,121,257,1999,993,255,684,365,111,156,359,560,2417,97,17,8505,https://kpkesihatan.com/2020/06/16/kenyataan-akhbar-kpk-16-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-17,18,96,121,257,2004,994,255,684,365,111,156,361,561,2418,97,17,8515,https://kpkesihatan.com/2020/06/17/kenyataan-akhbar-kpk-17-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-18,18,96,121,258,2006,994,255,686,365,111,156,362,565,2422,97,17,8529,https://kpkesihatan.com/2020/06/18/kenyataan-akhbar-kpk-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-19,18,96,121,258,2009,995,255,686,365,111,156,362,566,2423,97,17,8535,https://kpkesihatan.com/2020/06/19/kenyataan-akhbar-kpk-19-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-20,18,96,121,258,2021,996,255,686,365,111,156,363,566,2430,97,17,8556,https://kpkesihatan.com/2020/06/20/kenyataan-akhbar-kpk-20-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-21,18,96,121,258,2025,1002,256,687,365,111,156,364,569,2430,97,17,8572,https://kpkesihatan.com/2020/06/21/kenyataan-akhbar-kpk-21-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-22,18,96,121,258,2027,1014,256,688,365,111,156,364,569,2430,97,17,8587,https://kpkesihatan.com/2020/06/22/kenyataan-akhbar-kpk-22-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-23,18,96,121,258,2027,1015,256,688,365,111,156,366,569,2430,97,17,8590,https://kpkesihatan.com/2020/06/23/kenyataan-akhbar-kpk-23-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-24,18,96,121,258,2032,1015,256,688,365,111,156,366,570,2430,97,17,8596,https://kpkesihatan.com/2020/06/24/kenyataan-akhbar-kpk-24-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-25,18,96,121,258,2034,1015,256,689,365,111,157,366,570,2430,97,17,8600,https://kpkesihatan.com/2020/06/25/kenyataan-akhbar-kpk-25-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-26,18,97,121,258,2036,1015,256,691,365,111,157,366,570,2431,97,17,8606,https://kpkesihatan.com/2020/06/26/kenyataan-akhbar-kpk-26-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-27,18,97,121,258,2039,1016,256,691,365,111,157,368,570,2435,97,17,8616,https://kpkesihatan.com/2020/06/27/kenyataan-akhbar-kpk-27-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-28,18,97,121,258,2044,1025,256,691,365,111,157,370,571,2436,97,17,8634,https://kpkesihatan.com/2020/06/28/kenyataan-akhbar-kpk-28-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-29,18,97,121,258,2046,1025,256,691,365,111,157,371,571,2436,97,17,8637,https://kpkesihatan.com/2020/06/29/kenyataan-akhbar-kpk-29-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-06-30,18,97,121,258,2047,1025,256,691,365,111,157,372,571,2436,97,17,8639,https://kpkesihatan.com/2020/06/30/kenyataan-akhbar-kpk-30-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-01,18,97,121,258,2048,1025,256,691,365,111,157,372,571,2436,97,17,8640,https://kpkesihatan.com/2020/07/01/kenyataan-akhbar-kpk-1-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-02,18,97,121,258,2048,1025,256,692,365,111,157,373,571,2437,97,17,8643,https://kpkesihatan.com/2020/07/02/kenyataan-akhbar-kpk-2-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-03,18,97,121,258,2051,1025,256,692,365,111,157,375,571,2437,97,17,8648,https://kpkesihatan.com/2020/07/03/kenyataan-akhbar-kpk-3-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-04,18,97,121,258,2058,1026,256,692,365,111,157,376,571,2438,97,17,8658,https://kpkesihatan.com/2020/07/04/kenyataan-akhbar-kpk-4-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-05,18,97,121,258,2060,1027,256,692,365,111,157,378,571,2438,97,17,8663,https://kpkesihatan.com/2020/07/05/kenyataan-akhbar-kpk-5-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-06,18,97,121,258,2062,1027,256,693,365,111,157,378,572,2439,97,17,8668,https://kpkesihatan.com/2020/07/06/kenyataan-akhbar-kpk-6-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-07,18,97,121,258,2065,1027,256,694,365,111,157,378,572,2441,97,17,8674,https://kpkesihatan.com/2020/07/07/kenyataan-akhbar-kpk-7-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-08,18,97,121,258,2066,1027,256,694,365,111,157,378,573,2442,97,17,8677,https://kpkesihatan.com/2020/07/08/kenyataan-akhbar-kpk-8-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-09,18,97,121,258,2070,1027,256,696,365,111,157,378,573,2442,97,17,8683,https://kpkesihatan.com/2020/07/09/kenyataan-akhbar-kpk-9-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-10,18,98,121,258,2076,1027,256,697,365,111,157,378,575,2445,97,17,8696,https://kpkesihatan.com/2020/07/10/kenyataan-akhbar-kpk-10-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-11,18,98,121,258,2079,1027,256,699,365,111,157,379,577,2445,97,17,8704,https://kpkesihatan.com/2020/07/11/kenyataan-akhbar-kpk-11-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-07-12,18,98,121,258,2088,1027,257,699,365,111,157,380,579,2445,98,17,8718,https://kpkesihatan.com/2020/07/12/kenyataan-akhbar-kpk-12-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
